Category: All categories

Month,artificial intelligence: (United States)
2004-01,57
2004-02,55
2004-03,44
2004-04,58
2004-05,46
2004-06,43
2004-07,42
2004-08,33
2004-09,37
2004-10,42
2004-11,44
2004-12,42
2005-01,36
2005-02,33
2005-03,35
2005-04,30
2005-05,34
2005-06,29
2005-07,21
2005-08,23
2005-09,28
2005-10,30
2005-11,30
2005-12,24
2006-01,26
2006-02,22
2006-03,24
2006-04,27
2006-05,24
2006-06,17
2006-07,17
2006-08,15
2006-09,24
2006-10,20
2006-11,23
2006-12,18
2007-01,16
2007-02,19
2007-03,21
2007-04,19
2007-05,17
2007-06,15
2007-07,18
2007-08,17
2007-09,20
2007-10,20
2007-11,21
2007-12,16
2008-01,17
2008-02,17
2008-03,18
2008-04,17
2008-05,16
2008-06,15
2008-07,13
2008-08,13
2008-09,17
2008-10,17
2008-11,19
2008-12,15
2009-01,16
2009-02,18
2009-03,17
2009-04,19
2009-05,16
2009-06,16
2009-07,17
2009-08,20
2009-09,20
2009-10,18
2009-11,19
2009-12,21
2010-01,19
2010-02,17
2010-03,18
2010-04,17
2010-05,17
2010-06,13
2010-07,12
2010-08,12
2010-09,16
2010-10,18
2010-11,19
2010-12,15
2011-01,15
2011-02,18
2011-03,18
2011-04,17
2011-05,16
2011-06,14
2011-07,12
2011-08,15
2011-09,17
2011-10,24
2011-11,24
2011-12,19
2012-01,14
2012-02,15
2012-03,16
2012-04,17
2012-05,14
2012-06,14
2012-07,12
2012-08,13
2012-09,14
2012-10,18
2012-11,16
2012-12,13
2013-01,13
2013-02,15
2013-03,14
2013-04,15
2013-05,15
2013-06,11
2013-07,11
2013-08,12
2013-09,15
2013-10,15
2013-11,15
2013-12,14
2014-01,16
2014-02,15
2014-03,15
2014-04,17
2014-05,17
2014-06,14
2014-07,13
2014-08,15
2014-09,18
2014-10,20
2014-11,20
2014-12,22
2015-01,21
2015-02,20
2015-03,24
2015-04,23
2015-05,27
2015-06,20
2015-07,30
2015-08,21
2015-09,28
2015-10,25
2015-11,25
2015-12,25
2016-01,29
2016-02,25
2016-03,31
2016-04,29
2016-05,26
2016-06,25
2016-07,20
2016-08,19
2016-09,27
2016-10,35
2016-11,32
2016-12,34
2017-01,32
2017-02,36
2017-03,35
2017-04,38
2017-05,40
2017-06,33
2017-07,38
2017-08,39
2017-09,42
2017-10,49
2017-11,52
2017-12,45
2018-01,68
2018-02,53
2018-03,45
2018-04,47
2018-05,45
2018-06,39
2018-07,35
2018-08,33
2018-09,44
2018-10,45
2018-11,43
2018-12,40
2019-01,43
2019-02,45
2019-03,44
2019-04,44
2019-05,41
2019-06,38
2019-07,34
2019-08,37
2019-09,37
2019-10,40
2019-11,41
2019-12,37
2020-01,38
2020-02,44
2020-03,33
2020-04,39
2020-05,34
2020-06,32
2020-07,32
2020-08,32
2020-09,36
2020-10,35
2020-11,33
2020-12,34
2021-01,34
2021-02,37
2021-03,33
2021-04,32
2021-05,35
2021-06,30
2021-07,29
2021-08,31
2021-09,35
2021-10,38
2021-11,38
2021-12,32
2022-01,31
2022-02,36
2022-03,36
2022-04,42
2022-05,33
2022-06,34
2022-07,31
2022-08,35
2022-09,41
2022-10,39
2022-11,40
2022-12,46
2023-01,55
2023-02,70
2023-03,75
2023-04,100
2023-05,99
2023-06,72
2023-07,67
2023-08,61
2023-09,66
2023-10,76
2023-11,76
2023-12,70
2024-01,70
2024-02,74
