Category: All categories

Month,machine learning: (United States)
2004-01,16
2004-02,16
2004-03,11
2004-04,17
2004-05,15
2004-06,14
2004-07,10
2004-08,13
2004-09,16
2004-10,11
2004-11,13
2004-12,12
2005-01,13
2005-02,17
2005-03,12
2005-04,11
2005-05,11
2005-06,14
2005-07,9
2005-08,7
2005-09,10
2005-10,10
2005-11,11
2005-12,11
2006-01,13
2006-02,9
2006-03,10
2006-04,10
2006-05,12
2006-06,7
2006-07,6
2006-08,6
2006-09,11
2006-10,10
2006-11,10
2006-12,8
2007-01,8
2007-02,11
2007-03,8
2007-04,9
2007-05,9
2007-06,9
2007-07,6
2007-08,7
2007-09,11
2007-10,9
2007-11,9
2007-12,8
2008-01,8
2008-02,8
2008-03,8
2008-04,9
2008-05,8
2008-06,6
2008-07,6
2008-08,6
2008-09,8
2008-10,11
2008-11,9
2008-12,8
2009-01,8
2009-02,9
2009-03,8
2009-04,9
2009-05,8
2009-06,8
2009-07,7
2009-08,8
2009-09,10
2009-10,12
2009-11,11
2009-12,8
2010-01,9
2010-02,10
2010-03,10
2010-04,11
2010-05,8
2010-06,8
2010-07,7
2010-08,7
2010-09,9
2010-10,11
2010-11,10
2010-12,8
2011-01,9
2011-02,11
2011-03,10
2011-04,10
2011-05,9
2011-06,9
2011-07,8
2011-08,9
2011-09,12
2011-10,15
2011-11,13
2011-12,11
2012-01,11
2012-02,13
2012-03,13
2012-04,13
2012-05,12
2012-06,12
2012-07,11
2012-08,12
2012-09,13
2012-10,14
2012-11,13
2012-12,12
2013-01,12
2013-02,14
2013-03,14
2013-04,16
2013-05,15
2013-06,14
2013-07,12
2013-08,12
2013-09,16
2013-10,19
2013-11,18
2013-12,15
2014-01,18
2014-02,19
2014-03,20
2014-04,22
2014-05,17
2014-06,18
2014-07,18
2014-08,20
2014-09,22
2014-10,23
2014-11,23
2014-12,21
2015-01,23
2015-02,25
2015-03,27
2015-04,30
2015-05,28
2015-06,28
2015-07,29
2015-08,30
2015-09,33
2015-10,35
2015-11,36
2015-12,33
2016-01,30
2016-02,33
2016-03,40
2016-04,38
2016-05,39
2016-06,38
2016-07,34
2016-08,37
2016-09,41
2016-10,44
2016-11,48
2016-12,44
2017-01,54
2017-02,60
2017-03,66
2017-04,67
2017-05,70
2017-06,67
2017-07,62
2017-08,64
2017-09,72
2017-10,79
2017-11,84
2017-12,75
2018-01,71
2018-02,78
2018-03,83
2018-04,79
2018-05,80
2018-06,76
2018-07,74
2018-08,76
2018-09,81
2018-10,87
2018-11,84
2018-12,72
2019-01,79
2019-02,93
2019-03,87
2019-04,87
2019-05,80
2019-06,82
2019-07,81
2019-08,78
2019-09,84
2019-10,86
2019-11,78
2019-12,70
2020-01,76
2020-02,85
2020-03,69
2020-04,75
2020-05,73
2020-06,72
2020-07,74
2020-08,72
2020-09,72
2020-10,72
2020-11,63
2020-12,60
2021-01,56
2021-02,63
2021-03,64
2021-04,64
2021-05,66
2021-06,61
2021-07,61
2021-08,63
2021-09,71
2021-10,80
2021-11,75
2021-12,64
2022-01,73
2022-02,89
2022-03,88
2022-04,100
2022-05,86
2022-06,83
2022-07,82
2022-08,86
2022-09,92
2022-10,96
2022-11,91
2022-12,81
2023-01,86
2023-02,97
2023-03,95
2023-04,93
2023-05,87
2023-06,81
2023-07,79
2023-08,84
2023-09,93
2023-10,97
2023-11,89
2023-12,82
2024-01,90
2024-02,100
