Category: All categories

Month,neuromorphic computing: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,89
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,100
2006-09,0
2006-10,0
2006-11,0
2006-12,23
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,16
2007-11,0
2007-12,15
2008-01,0
2008-02,0
2008-03,28
2008-04,0
2008-05,0
2008-06,0
2008-07,26
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,33
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,30
2009-12,0
2010-01,9
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,17
2011-12,20
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,7
2013-05,6
2013-06,0
2013-07,0
2013-08,8
2013-09,0
2013-10,4
2013-11,0
2013-12,19
2014-01,14
2014-02,18
2014-03,7
2014-04,11
2014-05,19
2014-06,0
2014-07,0
2014-08,7
2014-09,5
2014-10,4
2014-11,6
2014-12,4
2015-01,6
2015-02,8
2015-03,11
2015-04,18
2015-05,6
2015-06,0
2015-07,5
2015-08,6
2015-09,0
2015-10,11
2015-11,25
2015-12,6
2016-01,5
2016-02,9
2016-03,12
2016-04,8
2016-05,10
2016-06,27
2016-07,9
2016-08,16
2016-09,10
2016-10,9
2016-11,18
2016-12,11
2017-01,13
2017-02,10
2017-03,27
2017-04,21
2017-05,16
2017-06,11
2017-07,19
2017-08,17
2017-09,21
2017-10,15
2017-11,11
2017-12,16
2018-01,25
2018-02,41
2018-03,23
2018-04,16
2018-05,25
2018-06,16
2018-07,24
2018-08,12
2018-09,14
2018-10,10
2018-11,17
2018-12,8
2019-01,17
2019-02,9
2019-03,19
2019-04,18
2019-05,9
2019-06,16
2019-07,12
2019-08,13
2019-09,15
2019-10,17
2019-11,23
2019-12,14
2020-01,25
2020-02,14
2020-03,13
2020-04,16
2020-05,17
2020-06,8
2020-07,21
2020-08,14
2020-09,22
2020-10,30
2020-11,22
2020-12,24
2021-01,18
2021-02,15
2021-03,22
2021-04,18
2021-05,18
2021-06,12
2021-07,13
2021-08,12
2021-09,10
2021-10,15
2021-11,11
2021-12,16
2022-01,21
2022-02,27
2022-03,27
2022-04,36
2022-05,24
2022-06,24
2022-07,26
2022-08,14
2022-09,32
2022-10,14
2022-11,32
2022-12,26
2023-01,41
2023-02,27
2023-03,26
2023-04,36
2023-05,29
2023-06,17
2023-07,21
2023-08,24
2023-09,25
2023-10,39
2023-11,30
2023-12,38
2024-01,46
2024-02,74
